dataset,depth,threads,time_sec,accuracy,misclassification
rice,3,8,11.694,0.93622,243
rice,3,9,10.806,0.93622,243
rice,3,10,9.595,0.93622,243
rice,3,11,9.123,0.93622,243
rice,3,12,8.682,0.93622,243
rice,3,13,9.15,0.93622,243
rice,3,14,8.803,0.93622,243
rice,3,15,8.472,0.93622,243
rice,3,16,8.513,0.93622,243
rice,3,32,7.974,0.93622,243
rice,3,60,10.555,0.93622,243
room,3,1,5.222,0.992102,80
room,3,2,2.474,0.992102,80
room,3,3,2.112,0.992102,80
room,3,4,1.575,0.992102,80
room,3,5,1.18,0.992102,80
room,3,6,1.205,0.992102,80
room,3,7,1.117,0.992102,80
room,3,8,1.158,0.992102,80
room,3,9,1.088,0.992102,80
room,3,10,1.243,0.992102,80
room,3,11,1.167,0.992102,80
room,3,12,1.367,0.992102,80
room,3,13,1.395,0.992102,80
room,3,14,1.401,0.992102,80
room,3,15,1.362,0.992102,80
room,3,16,1.476,0.992102,80
room,3,32,1.407,0.992102,80
room,3,60,1.571,0.992102,80
eeg,3,1,213.371,0.709613,4350
eeg,3,2,78.286,0.709613,4350
eeg,3,3,64.589,0.709613,4350
eeg,3,4,62.076,0.709613,4350
eeg,3,5,54.014,0.709613,4350
eeg,3,6,48.209,0.709613,4350
eeg,3,7,48.17,0.709613,4350
eeg,3,8,47.188,0.709613,4350
eeg,3,9,46.945,0.709613,4350
eeg,3,10,41.587,0.709613,4350
eeg,3,11,45.592,0.709613,4350
eeg,3,12,42.692,0.709613,4350
eeg,3,13,42.878,0.709613,4350
eeg,3,14,43.377,0.709613,4350
eeg,3,15,41.338,0.709613,4350
eeg,3,16,39.998,0.709613,4350
eeg,3,32,23.197,0.709613,4350
eeg,3,60,26.535,0.709613,4350
occupancy,3,1,38.099,0.991002,185
occupancy,3,2,20.852,0.991002,185
occupancy,3,3,15.177,0.991002,185
occupancy,3,4,12.927,0.991002,185
occupancy,3,5,13.792,0.991002,185
occupancy,3,6,12.053,0.991002,185
occupancy,3,7,11.762,0.991002,185
occupancy,3,8,11.062,0.991002,185
occupancy,3,9,9.828,0.991002,185
occupancy,3,10,10.061,0.991002,185
occupancy,3,11,8.95,0.991002,185
occupancy,3,12,9.218,0.991002,185
occupancy,3,13,9.023,0.991002,185
occupancy,3,14,8.74,0.991002,185
occupancy,3,15,8.804,0.991002,185
occupancy,3,16,7.245,0.991002,185
occupancy,3,32,7.206,0.991002,185
occupancy,3,60,7.787,0.991002,185
page,3,1,5.952,0.969304,168
page,3,2,3.904,0.969304,168
page,3,3,3.459,0.969304,168
page,3,4,2.823,0.969304,168
page,3,5,2.799,0.969304,168
page,3,6,2.937,0.969304,168
page,3,7,2.905,0.969304,168
page,3,8,2.811,0.969304,168
page,3,9,2.972,0.969304,168
page,3,10,3.033,0.969304,168
page,3,11,2.954,0.969304,168
page,3,12,2.674,0.969304,168
page,3,13,2.494,0.969304,168
page,3,14,2.537,0.969304,168
page,3,15,2.514,0.969304,168
page,3,16,2.496,0.969304,168
page,3,32,2.876,0.969304,168
page,3,60,3.793,0.969304,168
raisin,3,1,2.146,0.895556,94
raisin,3,2,1.106,0.895556,94
raisin,3,3,1.271,0.895556,94
raisin,3,4,1.037,0.895556,94
raisin,3,5,1.017,0.895556,94
raisin,3,6,1.181,0.895556,94
raisin,3,7,1.183,0.895556,94
raisin,3,8,1.026,0.895556,94
raisin,3,9,0.762,0.895556,94
raisin,3,10,0.665,0.895556,94
raisin,3,11,0.646,0.895556,94
raisin,3,12,0.528,0.895556,94
raisin,3,13,0.603,0.895556,94
raisin,3,14,0.574,0.895556,94
raisin,3,15,0.635,0.895556,94
raisin,3,16,0.649,0.895556,94
raisin,3,32,1.236,0.895556,94
raisin,3,60,2.198,0.895556,94
magic,3,1,258.087,0.829653,3240
magic,3,2,112.048,0.829653,3240
magic,3,3,85.536,0.829653,3240
magic,3,4,83.672,0.829653,3240
magic,3,5,75.382,0.829653,3240
magic,3,6,75.005,0.829653,3240
magic,3,7,78.697,0.829653,3240
magic,3,8,83.972,0.829653,3240
magic,3,9,79.25,0.829653,3240
magic,3,10,86.969,0.829653,3240
magic,3,11,75.449,0.829653,3240
magic,3,12,69.712,0.829653,3240
magic,3,13,72.392,0.829653,3240
magic,3,14,69.755,0.829653,3240
magic,3,15,65.746,0.829653,3240
magic,3,16,61.336,0.829653,3240
magic,3,32,50.354,0.829653,3240
magic,3,60,56.927,0.829653,3240
segment,3,1,9.656,0.879654,278
segment,3,2,3.966,0.879654,278
segment,3,3,2.531,0.879654,278
segment,3,4,2.791,0.879654,278
segment,3,5,2.566,0.879654,278
segment,3,6,2.62,0.879654,278
segment,3,7,2.291,0.879654,278
segment,3,8,2.14,0.879654,278
segment,3,9,2.043,0.879654,278
segment,3,10,1.822,0.879654,278
segment,3,11,1.743,0.879654,278
segment,3,12,1.635,0.879654,278
segment,3,13,1.688,0.879654,278
segment,3,14,1.594,0.879654,278
segment,3,15,1.483,0.879654,278
segment,3,16,1.674,0.879654,278
segment,3,32,3.037,0.879654,278
